10000,Deniz,Yılmaz,3.64,1208,278,3,E
10001,Can,Çelik,3.15,2794,693,3,E
10002,Can,Arslan,3.89,377,106,2,K
10003,Elif,Şahin,3.6,1347,315,3,K
10004,Murat,Şahin,2.81,3898,970,3,E
10005,Zeynep,Çelik,3.21,2595,652,2,K
10006,Elif,Doğan,1.18,9422,2348,3,E
10007,Zeynep,Çelik,3.39,2034,525,2,E
10008,Ayşe,Çelik,2.48,5008,1307,1,E
10009,Mehmet,Çelik,3.35,2158,549,2,E
10010,Ali,Şahin,2.49,4963,1171,4,E
10011,Mehmet,Şahin,2.25,5774,1470,2,E
10012,Can,Aydın,3.14,2821,759,1,K
10013,Zeynep,Koç,1.45,8486,2134,2,E
10014,Deniz,Aydın,1.52,8227,1968,4,E
10015,Zeynep,Demir,2.42,5206,1358,1,K
10016,Mehmet,Yılmaz,2.84,3804,900,4,K
10017,Deniz,Koç,1.11,9657,2410,3,E
10018,Ahmet,Doğan,2.74,4117,1032,3,K
10019,Ayşe,Yılmaz,3.97,112,28,2,E
10020,Ahmet,Arslan,2.85,3771,1005,1,K
10021,Ali,Demir,3.18,2698,721,1,E
10022,Deniz,Aydın,1.42,8591,2212,1,E
10023,Mehmet,Öztürk,3.45,1843,491,1,E
10024,Ahmet,Aydın,2.62,4518,1139,2,K
10025,Elif,Kaya,2.94,3473,854,3,E
10026,Ayşe,Öztürk,1.8,7309,1753,4,K
10027,Ali,Yılmaz,2.95,3432,842,3,E
10028,Mehmet,Demir,1.13,9580,2386,3,K
10029,Ali,Yılmaz,3.28,2375,566,4,K
10030,Ali,Koç,3.16,2762,691,2,E
10031,Murat,Şahin,3.21,2596,653,2,E
10032,Deniz,Aydın,3.64,1209,320,2,E
10033,Zeynep,Çelik,1.53,8197,2129,1,K
10034,Murat,Arslan,1.7,7661,1912,3,K
10035,Fatma,Çelik,3.58,1418,371,2,E
10036,Elif,Yılmaz,2.97,3370,900,1,K
10037,Deniz,Çelik,2.6,4579,1085,4,K
10038,Ayşe,Öztürk,2.1,6294,1632,1,E
10039,Mehmet,Çelik,2.3,5597,1388,3,E
10040,Elif,Aydın,3.57,1440,380,2,K
10041,Elif,Doğan,3.26,2433,651,1,K
10042,Ayşe,Arslan,1.19,9391,2339,3,K
10043,Ayşe,Doğan,3.29,2346,587,2,E
10044,Murat,Şahin,1.95,6775,1756,1,E
10045,Deniz,Yılmaz,1.9,6960,1661,4,K
10046,Fatma,Demir,2.73,4158,1093,1,E
10047,Ali,Yılmaz,2.09,6325,1574,3,E
10048,Murat,Aydın,2.12,6229,1551,3,K
10049,Mehmet,Çelik,2.92,3543,875,3,K
10050,Can,Çelik,1.32,8929,2243,2,K
10051,Deniz,Demir,1.15,9524,2465,1,E
10052,Zeynep,Şahin,2.86,3738,994,1,E
10053,Deniz,Doğan,3.5,1693,459,1,E
10054,Elif,Yılmaz,3.81,640,141,4,K
10055,Zeynep,Yılmaz,1.76,7463,1926,1,E
10056,Fatma,Öztürk,2.42,5207,1304,3,K
10057,Mehmet,Aydın,2.82,3868,959,3,K
10058,Ayşe,Koç,2.95,3433,806,4,E
10059,Ahmet,Koç,2.01,6572,1666,2,K
10060,Ayşe,Öztürk,2.54,4792,1210,2,K
10061,Murat,Öztürk,3.91,306,83,2,E
10062,Murat,Yılmaz,3.0,3270,801,3,K
10063,Fatma,Koç,1.45,8487,2039,4,K
10064,Can,Aydın,1.44,8526,2146,2,K
10065,Ayşe,Doğan,2.86,3739,995,1,K
10066,Ahmet,Koç,2.07,6390,1587,3,K
10067,Zeynep,Öztürk,1.58,8043,1925,4,E
10068,Ayşe,Demir,1.16,9488,2358,3,E
10069,Elif,Aydın,3.67,1108,269,4,E
10070,Zeynep,Aydın,3.29,2347,588,2,K
10071,Deniz,Koç,3.23,2533,612,3,E
10072,Mehmet,Öztürk,2.82,3869,969,2,E
10073,Elif,Koç,3.01,3241,862,1,E
10074,Ayşe,Demir,1.68,7727,1933,3,E
10075,Murat,Öztürk,1.58,8044,2019,2,K
10076,Ahmet,Çelik,2.78,4003,1003,2,E
10077,Can,Aydın,1.19,9392,2356,2,K
10078,Elif,Şahin,1.45,8488,2040,4,E
10079,Ayşe,Öztürk,2.68,4318,1078,3,E
10080,Fatma,Kaya,2.5,4932,1247,2,K
10081,Deniz,Şahin,3.62,1279,338,1,E
10082,Zeynep,Koç,2.71,4224,1056,2,K
10083,Ayşe,Şahin,2.9,3613,970,1,K
10084,Ayşe,Arslan,3.73,915,240,1,E
10085,Can,Arslan,1.11,9658,2331,4,K
10086,Can,Demir,2.15,6122,1558,2,E
10087,Can,Öztürk,3.06,3086,821,1,E
10088,Ahmet,Doğan,3.07,3045,809,1,E
10089,Can,Demir,1.29,9030,2174,4,K
10090,Ayşe,Aydın,2.97,3371,793,4,K
10091,Ayşe,Demir,3.42,1940,458,3,E
10092,Can,Yılmaz,1.38,8718,2253,1,K
10093,Ayşe,Çelik,2.69,4290,1019,4,E
10094,Murat,Arslan,3.37,2095,499,3,E
10095,Murat,Demir,1.35,8818,2202,3,K
10096,Elif,Aydın,2.6,4580,1155,2,K
10097,Can,Öztürk,3.17,2727,674,3,E
10098,Mehmet,Kaya,1.39,8688,2243,1,E
10099,Ali,Doğan,3.86,473,128,2,K
10100,Fatma,Doğan,2.21,5916,1401,4,E
10101,Can,Demir,3.17,2728,730,1,E
10102,Zeynep,Koç,1.47,8407,2101,3,K
10103,Can,Çelik,3.76,812,199,3,K
10104,Can,Koç,3.52,1611,382,4,K
10105,Zeynep,Çelik,2.16,6089,1445,4,K
10106,Ahmet,Şahin,1.92,6890,1777,1,E
10107,Can,Çelik,1.91,6925,1788,1,E
10108,Can,Koç,3.21,2597,614,4,K
10109,Mehmet,Koç,1.03,9906,2481,3,K
10110,Deniz,Öztürk,1.91,6926,1724,3,K
10111,Ahmet,Yılmaz,3.39,2035,482,4,K
10112,Elif,Koç,3.7,1012,268,1,K
