13000,Fatma,Öztürk,3.77,751,185,4,E
13001,Ali,Kaya,2.28,5735,1422,2,E
13002,Ahmet,Yılmaz,1.41,8611,2107,2,E
13003,Ahmet,Kaya,1.24,9144,2284,1,K
13004,Zeynep,Öztürk,2.08,6408,1603,1,E
13005,Ayşe,Arslan,3.52,1583,402,1,E
13006,Fatma,Demir,1.01,9957,2518,3,K
13007,Mehmet,Doğan,2.6,4613,1161,3,E
13008,Deniz,Kaya,1.57,8129,1980,2,E
13009,Zeynep,Arslan,2.93,3540,875,4,K
13010,Ahmet,Öztürk,2.96,3442,856,1,K
13011,Fatma,Yılmaz,2.65,4443,1108,2,E
13012,Ahmet,Yılmaz,1.96,6790,1699,1,E
13013,Can,Doğan,1.68,7767,1887,2,K
13014,Mehmet,Kaya,1.8,7307,1871,3,E
13015,Elif,Arslan,3.26,2443,606,3,K
13016,Fatma,Arslan,2.62,4561,1144,3,K
13017,Ahmet,Şahin,3.7,1003,232,3,K
13018,Fatma,Koç,1.05,9796,2440,1,E
13019,Elif,Aydın,1.97,6737,1693,1,K
13020,Fatma,Doğan,2.72,4220,1072,3,E
13021,Ali,Kaya,3.57,1420,342,2,E
13022,Ayşe,Arslan,3.71,937,239,4,K
13023,Can,Kaya,1.07,9744,2427,1,K
13024,Can,Aydın,2.61,4573,1142,1,E
13025,Deniz,Demir,1.5,8349,2072,1,K
13026,Ayşe,Öztürk,1.5,8332,2085,4,E
13027,Elif,Çelik,2.84,3825,980,3,E
13028,Ayşe,Yılmaz,3.46,1781,431,2,K
13029,Mehmet,Arslan,2.61,4569,1139,2,K
13030,Mehmet,Çelik,3.73,890,225,1,K
13031,Fatma,Doğan,3.63,1229,302,2,E
13032,Ahmet,Kaya,2.03,6559,1630,2,K
13033,Zeynep,Arslan,3.93,233,55,3,K
13034,Zeynep,Demir,1.07,9753,2403,2,E
13035,Ayşe,Kaya,3.22,2553,635,4,K
13036,Mehmet,Koç,1.11,9577,2359,2,K
13037,Zeynep,Koç,3.22,2555,616,2,K
13038,Ahmet,Demir,3.0,3295,827,3,E
13039,Ahmet,Demir,2.51,4940,1241,3,K
13040,Deniz,Demir,2.2,5999,1524,3,E
13041,Can,Demir,3.95,174,32,2,E
13042,Deniz,Doğan,1.59,8068,1966,2,K
13043,Deniz,Şahin,3.96,137,31,4,E
13044,Can,Öztürk,1.43,8574,2177,3,E
13045,Ali,Doğan,2.61,4588,1134,4,K
13046,Mehmet,Doğan,3.39,2018,492,4,E
13047,Deniz,Kaya,3.23,2530,649,1,E
13048,Elif,Şahin,1.43,8563,2093,2,K
13049,Deniz,Öztürk,3.63,1262,301,3,K
13050,Elif,Yılmaz,3.51,1630,403,4,K
13051,Ayşe,Şahin,3.84,550,126,2,K
13052,Can,Demir,1.37,8745,2181,4,E
13053,Ayşe,Yılmaz,1.35,8814,2253,3,E
13054,Ahmet,Şahin,2.89,3695,932,3,K
13055,Elif,Arslan,2.57,4751,1168,4,E
13056,Ahmet,Çelik,1.4,8660,2154,4,E
13057,Murat,Kaya,1.45,8493,2080,2,E
13058,Zeynep,Yılmaz,1.29,8990,2236,4,K
13059,Ahmet,Kaya,2.08,6431,1604,1,K
13060,Deniz,Şahin,1.1,9637,2395,1,K
13061,Mehmet,Öztürk,2.51,4943,1223,4,K
13062,Deniz,Aydın,3.44,1863,452,2,K
13063,Ayşe,Arslan,3.84,535,127,2,K
13064,Zeynep,Kaya,1.49,8361,2084,1,E
13065,Mehmet,Koç,2.5,5017,1235,4,K
13066,Elif,Çelik,3.47,1746,442,3,K
13067,Zeynep,Kaya,3.51,1610,394,2,K
13068,Fatma,Koç,3.07,3036,769,3,E
13069,Murat,Kaya,2.15,6165,1535,1,K
13070,Elif,Demir,3.5,1656,413,3,K
13071,Can,Yılmaz,2.56,4761,1196,3,E
13072,Elif,Kaya,1.71,7633,1903,1,K
13073,Mehmet,Çelik,3.57,1418,354,4,K
13074,Can,Yılmaz,2.31,5633,1394,2,E
13075,Ayşe,Arslan,3.95,173,36,3,E
13076,Deniz,Öztürk,3.89,374,78,2,K
13077,Deniz,Aydın,1.47,8412,2107,4,K
13078,Murat,Doğan,2.57,4729,1186,2,E
13079,Ahmet,Şahin,1.48,8387,2092,1,K
13080,Ahmet,Şahin,2.49,5039,1259,3,E
13081,Ahmet,Çelik,1.96,6766,1700,1,K
13082,Zeynep,Koç,1.42,8588,2099,2,E
13083,Fatma,Doğan,3.41,1948,474,2,K
13084,Can,Doğan,3.79,720,184,1,E
13085,Ayşe,Koç,2.9,3661,901,2,E
13086,Fatma,Demir,3.52,1602,386,2,E
13087,Can,Koç,3.96,146,30,3,E
13088,Fatma,Kaya,2.42,5281,1309,2,E
13089,Mehmet,Şahin,2.5,5014,1251,3,E
13090,Murat,Doğan,3.65,1180,279,3,E
13091,Elif,Öztürk,2.22,5959,1505,3,E
13092,Can,Çelik,2.13,6253,1584,3,K
13093,Deniz,Doğan,3.88,430,92,2,K
13094,Deniz,Kaya,2.34,5572,1372,2,E
13095,Ahmet,Demir,1.13,9542,2381,4,E
13096,Ali,Yılmaz,1.81,7284,1779,2,E
13097,Ahmet,Demir,1.08,9690,2418,4,E
13098,Murat,Koç,3.3,2271,559,4,E
13099,Murat,Öztürk,2.13,6221,1553,1,K
13100,Ahmet,Öztürk,2.07,6445,1614,1,E
13101,Ahmet,Yılmaz,3.15,2790,691,4,E
13102,Mehmet,Demir,3.67,1098,279,4,K
13103,Can,Doğan,2.36,5496,1364,1,K
13104,Deniz,Arslan,2.49,5020,1247,4,K
13105,Elif,Doğan,1.74,7515,1879,1,E
13106,Ayşe,Doğan,3.32,2226,575,1,E
13107,Ali,Koç,2.13,6230,1527,4,K
13108,Fatma,Şahin,3.41,1955,501,1,K
13109,Elif,Yılmaz,1.83,7227,1797,4,K
13110,Ahmet,Aydın,2.3,5675,1436,3,K
13111,Murat,Arslan,2.99,3350,820,4,K
13112,Deniz,Kaya,1.33,8861,2172,2,E
